Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Actinic Keratosis,Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly
Acute Bronchiolitis,Keep child hydrated,Use humidifier,Avoid exposure to smoke,Monitor breathing
Acute Bronchitis,Avoid smoking,Drink warm fluids,Use cough suppressants if needed,Rest and recover
Acute Bronchospasm,Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns
Acute Gastroenteritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Acute Kidney Injury,Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan
Acute Pancreatitis,Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly
Acute Sinusitis,Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses
Allergy,Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens
Amyotrophic Lateral Sclerosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Anemia,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Angina,Avoid overexertion,Take nitroglycerin as prescribed,Manage stress,Avoid cold exposure
Anxiety,Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed
Appendicitis,Avoid taking laxatives,Seek emergency care,Don’t eat or drink before surgery,Follow post-op instructions
Arthritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Arthritis Of The Hip,Do low-impact exercises,Use walking aids if needed,Maintain healthy weight,Take anti-inflammatory medication
Asthma,Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy
Benign Prostatic Hyperplasia (bph),Limit evening fluid intake,Avoid alcohol and caffeine,Empty bladder completely,Follow up with urologist
Brachial Neuritis,Avoid heavy lifting,Physical therapy,Manage pain with meds,Get adequate rest
Bronchitis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Bursitis,Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain
Cancer,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Carpal Tunnel Syndrome,Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises
Cholecystitis,Avoid fatty foods,Stay hydrated,Follow up for imaging/tests,Take antibiotics as prescribed
Chronic Back Pain,Maintain proper posture,Regular stretching,Use ergonomic furniture,Avoid lifting heavy objects
Chronic Constipation,Increase fiber intake,Exercise regularly,Stay hydrated,Avoid delaying bowel movements
Chronic Kidney Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Chronic Liver Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Chronic Obstructive Pulmonary Disease (copd),Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Cirrhosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Common Cold,Drink plenty of fluids,Rest well,Use nasal decongestants,Practice good hygiene
Complex Regional Pain Syndrome,Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb
Concussion,Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist
Conjunctivitis,Use prescribed eye drops,Avoid touching/rubbing eyes,Wash hands frequently,Don’t share towels
Conjunctivitis Due To Allergy,Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens
Contact Dermatitis,Identify and avoid allergen,Use fragrance-free products,Apply soothing lotion,Wear gloves when needed
Copd,Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu
Cornea Infection,Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics
Coronary Artery Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Covid-19,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Covid19,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Crohn Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Croup,Use humidified air,Keep child calm,Encourage fluid intake,Seek medical help for breathing difficulty
Cystic Fibrosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Cystitis,Drink cranberry juice or water,Urinate frequently,Avoid irritants like caffeine,Wipe front to back
Degenerative Disc Disease,Maintain healthy weight,Avoid lifting heavy items,Engage in back exercises,Use lumbar support
Dementia,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Dengue,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Dental Caries,Brush twice daily,Limit sugar intake,Visit dentist regularly,Floss daily
Depression,Maintain social connection,Follow treatment plan,Get regular exercise,Avoid alcohol and drugs
Dermatitis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Developmental Disability,Follow individualized education plans,Encourage structured routine,Regular therapy,Provide positive reinforcement
Diabetes,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Diaper Rash,Keep area dry,Change diapers frequently,Apply protective creams,Avoid scented products
Diverticulitis,Eat low-fiber during flare-ups,Stay hydrated,Take antibiotics if prescribed,Avoid seeds/nuts if advised
Drug Reaction,Stop the drug immediately,Consult a doctor,Use antihistamines if prescribed,Monitor for worsening symptoms
Ear Drum Damage,Avoid water entry into ear,Don’t insert objects into ear,Use ear drops as prescribed,Follow up with ENT
Eczema,Moisturize regularly,Avoid irritants like soaps & wool,Use corticosteroid creams,Reduce stress
Ehlers Danlos Syndrome,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Epilepsy,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Esophagitis,Avoid spicy & acidic food,Eat smaller meals,Sit upright after eating,Follow prescribed medication
Eustachian Tube Dysfunction (ear Disorder),Avoid flying with a cold,Use decongestants,Perform Valsalva maneuver,Stay hydrated
Fanconi Anemia,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Flu,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Food Poisoning,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Fungal Infection Of The Hair,Keep scalp dry and clean,Avoid sharing personal items,Use antifungal shampoo,Maintain proper hygiene
Gallstone,Avoid high-fat foods,Maintain a healthy weight,Eat regular meals,Follow up for surgical evaluation if needed
Gastritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Gastrointestinal Hemorrhage,Avoid NSAIDs,Eat a soft bland diet,Limit alcohol,Follow up with GI specialist
Gaucher Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Generalized Anxiety Disorder,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Gout,Avoid purine-rich food,Stay hydrated,Limit alcohol intake,Take medication as prescribed
Gum Disease,Maintain oral hygiene,Floss daily,Avoid smoking,Visit dentist regularly
Heart Attack,Take prescribed medication,Avoid stress,Eat heart-healthy diet,Monitor cholesterol and BP
Heart Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Heart Failure,Monitor fluid intake,Follow low-sodium diet,Take prescribed meds,Track weight daily
Hemorrhoids,Eat fiber-rich foods,Avoid prolonged sitting,Stay hydrated,Use sitz baths
Herniated Disk,Avoid lifting heavy items,Follow physical therapy,Use proper posture,Take prescribed meds
Hiatal Hernia,Eat small frequent meals,Avoid lying down after eating,Avoid spicy food,Maintain healthy weight
Hyperemesis Gravidarum,"Eat small, frequent meals",Stay hydrated,Avoid strong odors,Take prescribed anti-nausea meds
Hypertension,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Hypertensive Heart Disease,Reduce salt intake,Monitor blood pressure,Exercise regularly,Take antihypertensive medication
Hyperthyroidism,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Hypoglycemia,Eat small frequent meals,Carry glucose tablets,Avoid skipping meals,Monitor blood sugar levels
Hypothyroidism,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Ibs,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Idiopathic Excessive Menstruation,Use sanitary protection,Monitor blood loss,Iron-rich diet,Consult gynecologist
Idiopathic Irregular Menstrual Cycle,Keep menstrual diary,Maintain healthy weight,Reduce stress,Consult a gynecologist
Idiopathic Painful Menstruation,Use heat pads,Take antispasmodics/NSAIDs,Regular exercise,Avoid stress
Infectious Gastroenteritis,Wash hands frequently,Avoid sharing utensils,Drink clean water,Avoid street food
Inflammatory Bowel Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Influenza,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Injury To The Arm,Immobilize the arm,Apply cold compress,Elevate the arm,Seek medical care if swelling
Injury To The Leg,Elevate the leg,Apply ice packs,Avoid putting weight,Use crutches if advised
Injury To The Trunk,Apply ice or heat,Rest adequately,Use support belts if advised,Avoid strenuous activity
Irritable Bowel Syndrome,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Liver Disease,Avoid alcohol,Follow a liver-friendly diet,Get vaccinated for hepatitis,Monitor liver function tests
Macular Degeneration,Wear sunglasses,Eat leafy greens,Avoid smoking,Regular eye checkups
Marfan Syndrome,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Marijuana Abuse,Avoid peer pressure,Seek counseling,Build healthy habits,Avoid triggering environments
Metabolic Syndrome,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Migraine,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Multiple Sclerosis,Avoid overheating,Follow medication schedule,Stay physically active,Rest when needed
Niemann Pick Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Noninfectious Gastroenteritis,Avoid irritant foods,Stay hydrated,Eat bland diet,Rest well
Nose Disorder,Avoid nose picking,Keep nasal passages moist,Use saline sprays,Avoid irritants and allergens
Obesity,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Obstructive Sleep Apnea (osa),Maintain healthy weight,Use CPAP machine if prescribed,Avoid alcohol before bedtime,Sleep on your side
Osteoarthritis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Osteopetrosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Otitis Externa (swimmers Ear),Dry ears after swimming,Avoid inserting objects into ears,Use prescribed ear drops,Avoid dirty water bodies
Otitis Media,Avoid water entering ears,Take antibiotics as prescribed,Use warm compress,Follow up with ENT specialist
Pain After An Operation,Take pain meds as prescribed,Avoid physical strain,Keep surgical area clean,Attend follow-up appointments
Panic Disorder,Practice deep breathing,Avoid caffeine,Follow therapy plan,Seek support from loved ones
Parkinsons,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Pelvic Inflammatory Disease,Complete full course of antibiotics,Avoid sexual activity during treatment,Practice safe sex,Attend follow-up appointments
Peptic Ulcer Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Peripheral Nerve Disorder,Avoid repetitive injury,Use ergonomic tools,Take B vitamins if deficient,Follow neurologist’s advice
Personality Disorder,Follow psychotherapy plan,Avoid substance use,Build healthy relationships,Maintain regular routines
Pneumonia,Take full course of antibiotics,Avoid smoking,Rest adequately,Stay hydrated
Polycystic Ovary Syndrome,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Problem During Pregnancy,Attend regular prenatal visits,Avoid alcohol and smoking,Eat a balanced diet,Get adequate rest
Psoriasis,Keep skin moisturized,Avoid triggers like stress,Use prescribed creams,Avoid scratching
Pyogenic Skin Infection,Keep wound clean and dry,Avoid scratching,Take prescribed antibiotics,Cover infected area
Rectal Disorder,Eat a high-fiber diet,Drink plenty of water,Avoid straining during bowel movements,Use sitz baths
Schizophrenia,Adhere to medication,Avoid substance abuse,Attend therapy sessions,Build a support network
Seasonal Allergies (hay Fever),Keep windows closed during high pollen,Shower after being outdoors,Use air purifier,Take antihistamines
Sebaceous Cyst,Keep area clean,Avoid squeezing,Apply warm compress,Get it drained by a doctor if needed
Sepsis,Seek urgent medical care,Follow antibiotic regimen,Monitor temperature & vitals,Maintain good hygiene
Sickle Cell Crisis,Stay hydrated,Avoid extreme temperatures,Prevent infections,Take prescribed medication regularly
Sinus Bradycardia,Avoid excessive physical strain,Regular cardiac monitoring,Follow-up with cardiologist,Manage electrolyte balance
Sinusitis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Skin Pigmentation Disorder,Use sunscreen daily,Avoid skin irritants,Follow dermatological treatments,Stay hydrated
Skin Polyp,Avoid irritation or injury to area,Monitor size and appearance,Don’t self-remove,Seek medical evaluation
Spinal Muscular Atrophy,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Spinal Stenosis,Avoid high-impact activities,Use walking support,Physical therapy,Take anti-inflammatory meds
Spondylosis,Maintain good posture,Exercise regularly,Use ergonomic chairs,Avoid lifting heavy weights
Spontaneous Abortion,Take emotional support,Rest adequately,Avoid strenuous activity,Follow up for check-up
Sprain Or Strain,Rest the area,Apply ice packs,Compression with bandage,Elevate the limb
Strep Throat,Complete full antibiotic course,Avoid sharing utensils,Get adequate rest,Drink warm fluids
Stroke,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Stye,Apply warm compress,Avoid touching or squeezing,Maintain eyelid hygiene,Discontinue eye makeup temporarily
Systemic Lupus Erythematosus,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Temporary Or Benign Blood In Urine,Stay hydrated,Avoid strenuous activity,Avoid certain medications (as advised),Follow up with doctor
Threatened Pregnancy,Take prescribed medications,Avoid stress and lifting heavy items,Get regular checkups,Rest as recommended
Thyroid Disorder,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Tuberculosis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Type2 Diabetes,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Typhoid Fever,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Ulcer,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Ulcerative Colitis,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation
Urinary Tract Infection,Drink plenty of fluids,Urinate after sex,Wipe front to back,Complete antibiotic course
Vaginal Cyst,Maintain genital hygiene,Avoid tight clothing,Do warm sitz baths,Follow doctor’s advice
Vaginitis,Wear breathable cotton underwear,Avoid douching,Maintain genital hygiene,Avoid scented hygiene products
Vulvodynia,Wear loose cotton clothing,Avoid scented products,Use prescribed creams,Manage stress levels
